Disease Surveillance Database,Added By,Status,Reviewer,What organization created the system?,NP (non-profit) FP (for-profit) Gov (Government),Justification of Removal (it's not health epi focused),ik,Current/Terminated/Absorbed,Date Created,Date Terminated (C if current),LINKS to database as well as relevant articles,Geographic Region,City,Region,Countries,Global (mark as global),Data Source (Where does the data come from?),Data Type,Justification of Removal (it's not health epi focused),LINKS to database as well as relevant articles,Source Classification (of illness iNFormation),Syndromic Surveillance, Surveillance,Humans,Animals,Plants,Specific Symptoms Surveyed,Specific Diseases Surveyed,NOTES,MORE NOTES
European Invasive Bacterial Diseases Surveillance Network (EU-IBD),Faith,,,ECDC,Gov,,,absorbed,1999,2007,http://ecdc.europa.eu/en/healthtopics/vaccine-preventable-diseases/EU_IBD/Pages/index.aspx,,,,European Union,,,,,http://ecdc.europa.eu/en/healthtopics/vaccine-preventable-diseases/EU_IBD/Pages/index.aspx,lab,no,no,yes,no,no,,"N. meningitidies, H. influenzae, S. pneumoniae",,
European Network for Pertussis Surveillance,Faith,*can't find,,European Centre for Disease Prevention and Control (ECDC),Gov,,,nf ,nf ,nf ,http://ecdc.europa.eu/en/aboutus/networks/Pages/networks.aspx,,,,European Union,,,,,,lab,no,,nf,nf,nf,,pertussis,,
"International Surveillance Network for the Enteric Infections Salmonella, Campylobacter and VTEC O157 (Enter-Net)",Olivia W.,done,Karissa,"European Commission funded. hosted at the Health Protection Agency, Centre for Infection, in London, UKHPA became part of Public Health England in 2013",Gov,,1993- 2008,absorbed,1993,2008,http://ecdc.europa.eu/en/activities/surveillance/Documents/0909_Enternet_Summary_of_the_Enternet_network_evaluation_and_assessment.pdf http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2640286/pdf/9716971.pdf,Europe,,,European Union,,network of labs in Europe,lab results/confirmed cases,,http://ecdc.europa.eu/en/activities/surveillance/Documents/0909_Enternet_Summary_of_the_Enternet_network_evaluation_and_assessment.pdf http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2640286/pdf/9716971.pdf,lab,no,no,yes,no,no,no,"salmonellosis, verotoxin producing E. coli (VTEC) and campylobacteriosis.","As of Oct. 2007, Enternet was integrated into the ECDC; data collection has been taken over by The European Surveillance System (TESSy)",
(European Network for Plant Health Information Systems) EUROPHYT: EUROPHYT-CIRCA & EUROPHYT-PHYT,Olivia W.,done,Karissa,European Commission and member states. Launched by DG Health and Consumers Protection.,Gov,,,current,1992,2003,http://ec.europa.eu/food/plant/plant_health_biosecurity/europhyt/network/index_en.htm,European Union,,,European Union,,plant health authorities,data entered by plant health authorities about interceptions they have made,,http://ec.europa.eu/food/plant/plant_health_biosecurity/europhyt/network/index_en.htm,NPHR,no,,no,no,yes,,NA,http://ec.europa.eu/idabc/en/document/2267/16.html#what,
European Antimicrobial Resistance Surveillance Network Surveillance (EARS-Net),Olivia W.,,,European Centre for Disease Prevention and Control (ECDC),Gov,,,Current,2010,C,,,,,European Union,,network of laboratories and hospital,surveys about blood cultures,,,"Other surveillance systems, lab",no,no,yes,no,no,,antibiotic-resistant strains of bacteria,,
European Network for Hepatitis B and C Surveillance,Faith,,,ECDC,Gov,,,absorbed,2006,2011,http://ecdc.europa.eu/en/healthtopics/viral-hepatitis/hepatitis/Pages/european-network-hepatitis.aspx,,,,European Union,,,,,http://ecdc.europa.eu/en/healthtopics/viral-hepatitis/hepatitis/Pages/european-network-hepatitis.aspx,PHOR,no,no,yes,no,no,,Hepatitis B; Hepatitis C,,
Survey of Prevalent HIV Infections Diagnosed (SOPHID),Faith,,,Public Health England,Gov,,,terminated,1995,2014,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/336380/SOPHID_metadata_v2_v200913__3_.pdf,,,,"England, Wales, Northern Ireland ",,,,,,clinical,no,,yes,no,no,,HIV/AIDS,https://www.gov.uk/hiv-surveillance-systems,
HIV and AIDS New Diagnoses Database (HANDD),Faith,,,Public Health England,Gov,,,terminated,nf ,2015,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/336382/HANDD_metadata_SC__2_.pdf,,,,"England, Wales, Northern Ireland ",,,,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/336382/HANDD_metadata_SC__2_.pdf,"lab, clinical",no,,yes,no,no,,HIV/AIDS,,
Recent Infection Testing Algorithm (RITA),Faith,,,Health Protection Agency (HPA),Gov,,,Current,2009,C,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/331152/RITA_metadata_v1_24_09_2013.pdf,,,,"England, Wales, Northern Ireland",,,Specimens from individuals newly diagnosed with HIV are sent by laboratories to the Virus Reference Department at PHE Colindale for recent infection testing using the AxSYM avidity assay,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/331152/RITA_metadata_v1_24_09_2013.pdf,lab,no,no,yes,no,no,,HIV,,
CD4 Surveillance Scheme,Faith,,,Public Health England,Gov,,,Current,1995,C,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/331154/CD4_metadata_v2_200913__2_.pdf,,,,"England, Wales, Northern Ireland",,,,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/331154/CD4_metadata_v2_200913__2_.pdf,lab,no,,yes,no,no,,HIV/AIDS,,
Public Health Laboratory Service Communicable Disease Surveillance Center (PHLS CDSC),Laura H.,,,Public Health Laboratory Service,Gov,,,absorbed ,1977,1995,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1342122/pdf/bmjcred00261-0041.pdf,(Scotland Data collected seperately),,,"England, Wales",,labs,lab reports,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1342122/pdf/bmjcred00261-0041.pdf,lab,no,,yes,no,no,,nonspecific (communicable diseases),,
Gonococcal Resistance to Antimicrobials Surveillance Programme (GRASP),Faith,,,Public Health England,Gov,,,Terminated,2000,2011,http://webarchive.nationalarchives.gov.uk/20140714084352/http://www.hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/Gonorrhoea/AntimicrobialResistance/,,,,"England, Wales",,,,,http://webarchive.nationalarchives.gov.uk/20140714084352/http://www.hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/Gonorrhoea/AntimicrobialResistance/,"lab, clinical",no,,yes,no,no,,gonorrhea,,
Genitourinary medicine clinic activity dataset (GUMCADv2),Faith,,,Public Health England,Gov,,,Current,2010,C,https://www.gov.uk/genitourinary-medicine-clinic-activity-dataset-gumcadv2,,,,England,,,,,https://www.gov.uk/genitourinary-medicine-clinic-activity-dataset-gumcadv2,clinical,no,no,yes,no,no,,"Chlamydia, Gonnorrhea, Syphilis, Genital Herpes, HIV, Hepatitis, Genital warts",,
English Surveillance Programme for Antimicrobial Utilization and Resistance (ESPAUR),Faith,,,Public Health England,Gov,,,Terminated,2010,2013,https://www.gov.uk/government/publications/english-surveillance-programme-antimicrobial-utilisation-and-resistance-espaur-report,,,,England,,,,,https://www.gov.uk/government/publications/english-surveillance-programme-antimicrobial-utilisation-and-resistance-espaur-report,"clinical, lab",no,,yes,no,no,,"antimicrobial use, antimicrobial resistance",http://www.ncbi.nlm.nih.gov/pubmed/24027247,
HPA Regional Microbiology Network (RMN),Faith,,,Health Protection Agency (HPA),Gov,not sure - network of labs,,nf ,2006,nf ,https://books.google.com/books?id=wGxyJ11WAR0C&pg=PA121,,,,England,,,,,https://books.google.com/books?id=VW94AgAAQBAJ&pg=PA135,lab,no,,yes,yes,yes,,nonspecific,"clinical, food, water, environemntal samples",
DIVINE-NET,Olivia W.,,ZSG,European Centre for Disease Prevention and Control,Gov,,"June 1, 2004 - December 2007",Terminated,6/1/2004,2004,http://ec.europa.eu/research/health/infectious-diseases/emerging-epidemics/projects/172_en.html,"Denmark, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain, Sweden, United Kingdom",,,"Denmark, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Slovenia, Spain, Sweden, United Kingdom",,laboratories,laboratory data,,http://ec.europa.eu/research/health/infectious-diseases/emerging-epidemics/projects/172_en.html,lab,no,,yes,no,no,,"norovirus, foodborne",,
Statens Serum Institut (SSI),Laura H.,,,Danish Ministry of Health,Gov,not a surveillance system,,Current,9/9/1902,C,http://www.ssi.dk/English.aspx,Denmark,,,Denmark,,,,,http://www.ssi.dk/English.aspx,lab,no,,yes,no,no,,nonspecific,,
Boletín Epidemiológico del IPK,Laura H.,,,Departamento de Vigilancia Epidemiológica de la Subdirección de Epidemiología del IPK ,Gov,,2004-current,Current,2004,C,http://boletines.sld.cu/ipk/informacion/,Cuba,,,Cuba,,,,,http://boletines.sld.cu/ipk/informacion/,"other surveillance systems, PHOR",no,no,yes,no,no,Diarrhea,"Diarrhea, Leprosy, Malaria, Measles, Mumps, Rubella, Shigellosis, Tetanus, Typhoid, Hepatitis, Varicella, Chickenpox, Pertussis",,
Canadian Perinatal HIV Surveillance Program,Robyn,done,Robyn,Public Health Agency of Canada,Gov,,-current,Terminated,1979,2012,,Canada,,,Canada,,"HIV Clinics: national, non-nominal confidential survey of infants known to participating pediatricians in tertiary care centers and specialists","laboratory confirmed cases by four months of age (before that ""infection status not confirmed"")",,,clinical,no,no,yes,no,no,,HIV/AIDS,,
Creutzfeldt-Jakob Disease Surveillance System (CJDSS),Laura H.,,,Public Health Agency of Canada,Gov,,1998-current,Current ,1998,2015,http://www.phac-aspc.gc.ca/hcai-iamss/cjd-mcj/cjdss-ssmcj/stats-eng.php,Canada,,,Canada,,,,,http://www.phac-aspc.gc.ca/hcai-iamss/cjd-mcj/cjdss-ssmcj/stats-eng.php,"clinical, lab",no,no,yes,no,no,,Creutzfeldt-Jakob Disease,called 1-888-489-2999 to get more  info,
Canadian Integrated Program for Antimicrobial Resistance Surveillance (CIPARS),Laura H.,,,Public Health Agency of Canada (PHAC),Gov,,1997-2007,Terminated,1997,2007,http://www.phac-aspc.gc.ca/cipars-picra/index-eng.php,Canada,,,Canada,,,,,http://www.phac-aspc.gc.ca/cipars-picra/index-eng.php,lab,no,no,yes,no,yes,,antimicrobial resistance ,,
Canadian Congenital Anomalies Surveillance Network (CCASN),Laura H.,,,Public Health Agency of Canada (PHAC),Gov,,2002-2013,Terminated,2002,2013,http://www.phac-aspc.gc.ca/ccasn-rcsac/index-eng.php,Canada,,,Canada,,,,,http://www.phac-aspc.gc.ca/ccasn-rcsac/index-eng.php,lab,no,,yes,no,no,,chronic,,
Respiratory Virus Detection Surveillance System Canada,Laura H.,,,Public Health Agency of Canada (PHAC),Gov,,2004-current,Current,2004,C,,Canada,,,Canada,,,,,http://www.phac-aspc.gc.ca/bid-bmi/dsd-dsm/rvdi-divr/2014-2015/28/rvdi_divr28-eng.php,lab,no,no,yes,no,no,,"Influenza, RSV, Parainfluenza, Adenovirus, hMPV, Rhinovirus, Coronavirus ",,
Measles and Rubella Surveillance (MARS) pilot,Olivia W.,,,Public Health Agency of Canada,Gov,,June 2011- ?,Current,2011,C,http://www.phac-aspc.gc.ca/surveillance-eng.php,,,,Canada,,laboratories,non-nominal augmented laboratory data,,http://www.phac-aspc.gc.ca/surveillance-eng.php,lab,no,,yes,no,no,,"measles, rubella, mumps",,
National Enteric Surveillance Program (NESP),Laura H.,,,Public Health Agency of Canada (PHAC),Gov,,1997-2012,Terminated,1997,2012,https://www.nml-lnm.gc.ca/NESP-PNSME/index-eng.htm,,,,Canada,,,,,nalysis and reporting of laboratory confirmed enteric disease cases in Canada,lab,no,,yes,no,no,,"Salmonella, Campylobacter, Shigella, Vibrio, Verotoxigenic E. coli, Yersinia; intestinal parasitic organisms such as Giardia, Cryptosporidium, Entamoeba and Cyclospora; and enteric viruses such as Norovirus and Rotavirus.",,
Enhanced National Invasive Pneumococcal Disease Surveillance System pilot,Olivia W.,done,Robyn,"Public Health Agency of Canada, Centre for Immunization and Respiratory Infectious Diseases (CIRID) and the National Microbiology Laboratory (NML).",Gov,,2011-current,current,2011,C,http://www.phac-aspc.gc.ca/surveillance-eng.php#eipd,"One province (expanding to two more soon), Canada",,,Canada,,NF,laboratory and epidemiological data,,http://www.phac-aspc.gc.ca/surveillance-eng.php#eipd,"lab, clinical",no,no,yes,no,no,,invasive pneumococcal disease,,
Canadian Measles/Rubella Surveillance System (CMRSS),Laura H.,,,Public Health Agency of Canada (PHAC),Gov,,2014-current,Current,2014,C,http://www.phac-aspc.gc.ca/mrwr-rhrr/index-eng.php,Canada,,,Canada,,,,,http://www.phac-aspc.gc.ca/mrwr-rhrr/index-eng.php,"lab, clinical",no,no,yes,no,no,,Measles; Rubella,,
FoodNet (Canada),Olivia W.,done,Robyn,Public Health Agency of Canada,Gov,,,Current,2005,C,http://www.phac-aspc.gc.ca/foodnetcanada/overview-apercu-eng.php,,,,Canada,,"sentinel surveillance system (network of public health units, public health and private laboratories, farms, retail food outlets and sources of drinking water) Currently three sites: Ontario (Middlesex-London Health Unit), British Columbia (Fraser Health Authority), and Alberta (Alberta Health Services: Calgary and Central Zones).","microbial subtyping comparison, comparative exposure assessment, outbreak data analysis, case control study, intervention study",,http://www.phac-aspc.gc.ca/foodnetcanada/overview-apercu-eng.php,"lab, clinical, PHOR",no,no,yes,no,no,,food borne diseases,,
National HIV/AIDs Surveillance in Canada,Olivia W.,done,Robyn,Public Health Agency of Canada,Gov,,,Terminated,1979,2012,http://www.phac-aspc.gc.ca/aids-sida/publication/survreport/2012/dec/index-eng.php,Canada,,,Canada,,all provincial and territorial public health authorities,"laboratory confirmed cases (confirmed, repeatedly reactive screening test for HIV antibody)",,,"lab, PHOR",no,no,yes,no,no,,HIV/AIDS,,
HIV/AIDs Surveillance in Canada: Tracks Enhanced System,Olivia W.,done,Robyn,Public Health Agency of Canada: Centre for Communicable Diseases and Infection Control,Gov,,-2012,terminated,2012,2013,,Canada,,,Canada,,provincial and territorial public health authorities,laboratory confirmed cases,,,PHOR,no,,yes,no,no,,HIV/AIDS,,
EpiNorth,Olivia W.,,,European Centre for Disease Prevention and Control (ECDC),Gov,,,Terminated,2000,2012,http://www.epinorth.org/,,,,"Belarus, Denmark, Estonia, Finland, Iceland, Latvia, Lithuania, Norway, Poland, Russia, Sweden, Ukraine",,"official web-pages, EpiNorth network","reports, mass media",,http://www.epinorth.org/,"news, PHOR, other surveillance systems",no,,yes,no,no,,nonspecific,,
European Surveillance Network for Vaccine Preventable Diseases (EUVAC-Net),Olivia W.,done,ZSG,Gov,Gov,,1999-2011,Terminated,1999,2011,http://ecdc.europa.eu/en/activities/surveillance/euvac/Pages/index.aspx AND http://www.escvconferences.eu/Muscat_Meas_Rub_ESCV_14Jan.PDF,"Austria, Belgium, Bulgeria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finalnd, France, Germany, Hungary, Iceland, Ireland Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom",,,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom",,"Network of national surveillance systems, laboratories","laboratory-confirmed cases, clinical data and epidemiological data",,http://ecdc.europa.eu/en/activities/surveillance/euvac/Pages/index.aspx AND http://www.escvconferences.eu/Muscat_Meas_Rub_ESCV_14Jan.PDF,"clinical, lab",no,no,yes,no,no,,"Measles, mumps, rubella, pertussis, varicella",In 2011 the responsibilities of EUVAC-Net were transferred to the ECDC; they are now carried out by the Vaccine Preventable Diseases (VPD) group.,
"Network for Diagnostics of ""Imported"" Viral Diseases (ENIVD)",Olivia W.,done,Karissa,ENIVD is it's own organization. Funded by ECDC,"NP, Gov",,1995-current,current,1995,C,http://www.enivd.de/,,,,"Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Republic of Macedonia, Germany, England, Scotland, Wales, Greece, Hungary, Iceland, Ireland, Israel, Italy, Kosovo, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Russia, Saudi Arabia, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey",,a network of labs across Europe,"laboratory data on imported, rare and emerging viruses",,http://www.enivd.de/,lab,no,no,yes,no,no,no,viral diseases,includes viruses. List here http://www.enivd.org/,
Creutzfeldt-Jakob Disease International Surveillance Network (formerly EuroCJD),Laura H.,,,"National CJD Research & Surveillance Unit (NCJDRSU), European Centre for Disease Prevention and Control (ECDC)",Gov,,1993-current,Current,1993,C,http://www.eurocjd.ed.ac.uk/surveillance%20data%201.html,,,,"Australia, Austria, Belgium, Canada, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Latvia, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,"lab, clinical*",no,no,yes,no,no,,Creutzfeldt-Jakob Disease,,
"National Notifiable Diseases Surveillance System (NNDSS), Australia",Faith,,,Australian Department of Health and Ageing,Gov,,1991-current,Current ,1991,C ,http://www9.health.gov.au/cda/source/cda-index.cfm,,,,Australia,,"treating clinicians, diagnostic laboratories or hospitals","unique record reference number, state or territory identifier, disease code, date of onset, date of notification to the relevant health authority, sex, age, Indigenous status and postcode of residence.",,http://www9.health.gov.au/cda/source/cda-index.cfm,"clinical, lab",no,,yes,no,no,,"Anthrax, Botulism, Chikungunya Fever, Cholera, Dengue, Influenza (all strains, seasonal and pandemic), Leprosy, Campylobacteriosis, Cryptosporidiosis ",,
Australian National Creutzfeldt-Jakob Disease Registry ,Faith,,,University of Melbourne,NP,,,Current,1993,C,http://ancjdr.path.unimelb.edu.au/,,,,Australia,,,,,http://ancjdr.path.unimelb.edu.au/,lab,no,,yes,no,no,,Creutzfeldt-Jakob Disease,http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-surveil-surv_sys.htm,
Australian Gonococcal Surveillance Programme,Faith,,,Australian Department of Health,Gov,,,Terminated,1996,2013,http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-pubs-annlrpt-gonoanrep.htm,,,,Australia,,,,,http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-pubs-annlrpt-gonoanrep.htm,lab,no,,yes,no,no,,Gonococcal,http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-surveil-surv_sys.htm,
VIDRL Measles Surveillance,Laura H.,,,Victorian Infectious Disease Resource Laboratory (VIDRL),NP,,2006-2014,Absorbed,2006,2014,http://www.vidrl.org.au/about/,,,Victoria /,Australia,,,,,,lab,no,no,yes,no,no,,measles,http://www.vidrl.org.au/surveillance/measles/,
VIDRL Norovirus Surveillance,Laura H.,,,Victorian Infectious Disease Resource Laboratory (VIDRL),NP,,2006-2014,Absorbed,2006,2014,http://www.vidrl.org.au/about/,,,Victoria /,Australia,,,,,,lab,no,no,yes,no,no,,Norovirus,,
